City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
21,Port Alfred,ZA,2021-04-07 20:12:26,-33.5906,26.891,65.95,95,59,10.78
22,Torbay,CA,2021-04-07 20:12:33,47.6666,-52.7314,37.99,100,90,8.05
23,Launceston,AU,2021-04-07 20:07:59,-41.45,147.1667,55.0,93,75,8.05
24,Rikitea,PF,2021-04-07 20:12:25,-23.1203,-134.9692,76.73,61,1,7.65
25,Pervomayskiy,RU,2021-04-07 20:16:14,53.2485,40.2871,46.0,90,100,20.76
26,Houma,US,2021-04-07 20:14:12,29.5958,-90.7195,80.01,73,75,20.71
27,Sukhoy Log,RU,2021-04-07 20:16:14,56.9094,62.0296,34.36,98,100,7.96
28,Atuona,PF,2021-04-07 20:12:43,-9.8,-139.0333,80.82,72,13,15.39
29,Tuktoyaktuk,CA,2021-04-07 20:07:49,69.4541,-133.0374,-7.6,77,40,5.75
30,Ribeira Grande,PT,2021-04-07 20:12:48,38.5167,-28.7,60.8,88,75,21.85
31,Butaritari,KI,2021-04-07 20:12:22,3.0707,172.7902,80.82,79,19,11.95
32,Yerbogachen,RU,2021-04-07 20:16:15,61.2767,108.0108,30.74,95,100,8.32
33,Nampula,MZ,2021-04-07 20:16:15,-15.1165,39.2666,71.6,94,75,11.5
34,Amboasary,MG,2021-04-07 20:16:15,-25.0333,46.3833,73.4,83,20,2.3
35,Nikolskoye,RU,2021-04-07 20:12:29,59.7035,30.7861,36.0,86,0,4.47
36,Balikpapan,ID,2021-04-07 20:16:15,-1.2675,116.8289,73.72,92,100,3.49
37,Carnarvon,AU,2021-04-07 20:12:47,-24.8667,113.6333,75.2,73,69,19.57
38,Grindavik,IS,2021-04-07 20:09:00,63.8424,-22.4338,32.0,100,90,17.27
39,Avarua,CK,2021-04-07 20:12:50,-21.2078,-159.775,82.4,69,90,9.22
40,Bachaquero,VE,2021-04-07 20:16:16,9.9694,-71.1494,86.07,67,92,6.96
41,Poum,NC,2021-04-07 20:16:16,-20.2333,164.0167,79.41,75,21,22.53
42,Port Keats,AU,2021-04-07 20:16:16,-14.25,129.55,81.75,70,89,5.37
43,Isfana,KG,2021-04-07 20:16:17,39.8386,69.5306,51.8,71,28,4.47
44,Kaitangata,NZ,2021-04-07 20:14:04,-46.2817,169.8464,53.01,97,93,4.0
45,Trelew,AR,2021-04-07 20:13:37,-43.249,-65.3051,74.89,23,0,10.22
46,Lianran,CN,2021-04-07 20:16:17,24.9227,102.485,55.0,93,0,2.48
47,Kirakira,SB,2021-04-07 20:14:28,-10.4544,161.9205,80.19,81,91,9.15
48,Mwinilunga,ZM,2021-04-07 20:16:04,-11.7358,24.4293,61.52,95,80,3.65
49,Port Elizabeth,ZA,2021-04-07 20:12:10,-33.918,25.5701,64.4,88,90,9.22
50,Bredasdorp,ZA,2021-04-07 20:12:42,-34.5322,20.0403,57.2,94,48,3.44
51,Hami,CN,2021-04-07 20:16:17,42.8,93.45,60.85,20,100,14.34
