City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
423,Vila Franca Do Campo,PT,37.7167,-25.4333,62.6,94,40,16.11,scattered clouds
424,Angarsk,RU,52.5367,103.8864,21.2,93,0,6.71,clear sky
425,Guerrero Negro,MX,27.9769,-114.0611,64.67,62,0,19.73,clear sky
426,Kurumkan,RU,54.3,110.3,22.66,65,7,1.59,clear sky
427,Kangaatsiaq,GL,68.3065,-53.4641,33.31,84,100,36.15,light rain
428,Cabedelo,BR,-6.9811,-34.8339,78.8,100,40,6.91,scattered clouds
429,Orlik,RU,52.5178,99.825,25.95,91,100,3.91,light snow
430,Hirara,JP,24.8,125.2833,71.6,94,20,3.44,few clouds
431,General Roca,AR,-39.0333,-67.5833,80.6,41,0,3.44,clear sky
432,Sungairaya,ID,0.7,108.9,77.14,86,97,2.8,light rain
433,Mata,PT,40.683,-7.4592,57.0,66,100,2.73,overcast clouds
434,Kununurra,AU,-15.7667,128.7333,77.0,94,100,4.94,overcast clouds
435,Biak,ID,-0.9131,122.8766,77.13,83,92,4.47,overcast clouds
436,Rehoboth,NA,-23.3167,17.0833,65.34,32,0,7.07,clear sky
437,Voyvozh,RU,62.892,54.9635,36.36,78,79,10.98,broken clouds
438,Boende,CD,-0.2167,20.8667,71.6,87,38,1.52,scattered clouds
439,Guadalupe Y Calvo,MX,26.1,-106.9667,67.17,15,0,12.91,clear sky
440,Salisbury,GB,51.0693,-1.7957,39.2,56,8,2.37,clear sky
441,Payo,ID,-3.7508,103.6372,71.35,96,100,1.52,overcast clouds
442,Leamington,CA,42.0549,-82.6062,57.2,77,80,4.61,broken clouds
443,Agadir,MA,30.4202,-9.5982,64.4,88,75,4.61,broken clouds
444,Saint Anthony,US,45.0205,-93.218,45.0,81,90,13.8,overcast clouds
445,Emba,KZ,48.8264,58.1442,41.34,62,2,11.12,clear sky
446,Klaksvik,FO,62.2266,-6.589,32.0,74,16,1.7,few clouds
447,Atikokan,CA,48.7555,-91.6216,41.47,95,100,7.31,overcast clouds
448,Pampa,US,35.5362,-100.9599,59.0,28,1,12.66,clear sky
449,Antsirabe,MG,-19.85,47.0333,59.76,88,100,3.69,overcast clouds
450,Porterville,US,36.0652,-119.0168,82.99,26,1,6.91,clear sky
451,Atar,MR,20.5169,-13.0499,80.92,14,6,10.51,clear sky
452,Rocha,UY,-34.4833,-54.3333,58.46,86,0,1.66,clear sky
453,San Quintin,MX,30.4833,-115.95,62.15,66,10,13.67,clear sky
454,Novyye Burasy,RU,52.1324,46.0714,47.16,66,60,6.8,broken clouds
455,Felanitx,ES,39.4696,3.1483,50.0,81,20,2.3,few clouds
456,Bacolod,PH,10.6667,122.95,80.78,74,100,6.87,overcast clouds
457,Sao Miguel Do Araguaia,BR,-13.275,-50.1628,75.61,79,100,3.33,light rain
458,Vardo,NO,70.3705,31.1107,24.8,74,0,12.66,clear sky
459,Saint-Georges,GD,12.0564,-61.7485,82.4,83,20,20.71,few clouds
460,Wana,PK,32.2989,69.5725,63.07,47,94,3.2,overcast clouds
461,Shieli,KZ,44.1667,66.75,51.26,69,80,4.32,broken clouds
462,The Valley,AI,18.217,-63.0578,80.6,73,20,10.36,few clouds
463,Palimbang,PH,6.2106,124.1894,80.71,78,97,3.0,overcast clouds
464,Vostochnyy,RU,55.8167,37.8667,48.0,66,0,8.95,clear sky
465,Podosinovets,RU,60.2776,47.0659,34.23,94,70,5.53,broken clouds
466,Jardim,BR,-21.4803,-56.1381,75.72,79,84,5.17,broken clouds
467,Morshansk,RU,53.4435,41.8107,49.98,81,98,7.7,overcast clouds
468,Bubaque,GW,11.2833,-15.8333,78.26,71,5,15.75,clear sky
469,Qaqortoq,GL,60.7167,-46.0333,41.0,42,4,4.61,clear sky
470,Cap Malheureux,MU,-19.9842,57.6142,75.0,92,99,1.99,moderate rain
471,Iquitos,PE,-3.7481,-73.2472,80.6,83,75,4.61,light rain
472,Fort Dodge,US,42.4975,-94.168,55.4,30,1,18.41,clear sky
473,Yeppoon,AU,-23.1333,150.7333,71.6,60,20,11.5,few clouds
474,Saint-Augustin,CA,51.226,-58.6502,40.77,77,8,20.22,clear sky
475,Cascais,PT,38.6979,-9.4215,60.01,74,100,5.99,light rain
476,Dunedin,NZ,-45.8742,170.5036,60.01,83,100,1.01,moderate rain
