City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
320,Ambon,ID,82.99,broken clouds,-3.6954,128.1814,Swiss-Belhotel Ambon
321,Marang,MY,77.0,few clouds,5.2056,103.2059,DBarakah Homestay
329,Sur,OM,81.36,clear sky,22.5667,59.5289,Sur Plaza Hotel
330,Quatre Cocos,MU,75.2,moderate rain,-20.2078,57.7625,Emeraude Beach Attitude Hotel
332,Riyadh,SA,84.2,scattered clouds,24.6877,46.7219,InterContinental Riyadh
335,Itacoatiara,BR,77.97,overcast clouds,-3.1431,-58.4442,BBB Rooms Centro Itacoatiara AM
336,Pauini,BR,76.42,broken clouds,-7.7136,-66.9764,Casa do Kiwliks
340,Rock Sound,BS,76.59,scattered clouds,24.9,-76.2,Rock Sound Club
353,Port-Gentil,GA,84.2,few clouds,-0.7193,8.7815,Fengshui Residence
355,Labuhan,ID,76.91,scattered clouds,-6.8844,112.2051,PT PPI Lamongan Tambak C
357,Pedernales,DO,80.42,broken clouds,18.0384,-71.744,Hotel Costa Marina
359,Porto Belo,BR,75.2,broken clouds,-27.1578,-48.5531,Costa Verde Beach Hotel
362,Conceicao Do Araguaia,BR,86.0,clear sky,-8.2578,-49.2647,Tarumã Tropical Hotel
365,Coruripe,BR,78.24,overcast clouds,-10.1256,-36.1756,Pousada e Hotel Litoral Sul
370,Sassandra,CI,80.24,broken clouds,4.95,-6.0833,la terrasse
377,Kesinga,IN,80.98,scattered clouds,20.2,83.2333,HOTEL JAYASHREE
379,Porto Novo,BJ,84.2,few clouds,6.4965,2.6036,Tour Eiffel Hotel Benin
383,Coahuayana,MX,82.4,clear sky,18.7333,-103.6833,El rranchito michuacan de ocampos
384,Meulaboh,ID,76.78,broken clouds,4.1363,96.1285,Kost Pria
386,Cilegon,ID,77.0,mist,-6.0174,106.0538,Amaris Hotel Cilegon
388,Hobyo,SO,80.8,overcast clouds,5.3505,48.5268,Halane Hotel and Restaurent
391,Cabo San Lucas,MX,86.0,clear sky,22.8909,-109.9124,Hotel Tesoro Los Cabos
392,Moussoro,TD,81.99,broken clouds,13.6408,16.4901,Pharmacie alnadja Moussoro
393,Siocon,PH,80.4,broken clouds,7.7061,122.1353,ABS Hotel
396,Sao Joao Da Barra,BR,76.51,clear sky,-21.6403,-41.0511,Pousada Porto De Canoas
407,Narasannapeta,IN,78.39,clear sky,18.4167,84.05,G.lingaraju home
408,Luganville,VU,84.6,overcast clouds,-15.5333,167.1667,The Espiritu Hotel
413,Gainesville,US,82.0,clear sky,29.6516,-82.3248,Holiday Inn Gainesville-University Ctr
428,Cabedelo,BR,78.8,scattered clouds,-6.9811,-34.8339,Hotel Pigalle
431,General Roca,AR,80.6,clear sky,-39.0333,-67.5833,Hotel y Casino del Río General Roca
432,Sungairaya,ID,77.14,light rain,0.7,108.9,Mess P.Milu
434,Kununurra,AU,77.0,overcast clouds,-15.7667,128.7333,Hotel Kununurra
435,Biak,ID,77.13,overcast clouds,-0.9131,122.8766,Penginapan Kim
450,Porterville,US,82.99,clear sky,36.0652,-119.0168,Holiday Inn Express & Suites Porterville
451,Atar,MR,80.92,clear sky,20.5169,-13.0499,Oumou Elghoura
456,Bacolod,PH,80.78,overcast clouds,10.6667,122.95,Planta Hotel & Residences
